State,Company,CIQID,Year,EBITDA,YearRev,Year2Rev,Year3Rev,YearOpExp,Year2OpExp,Year3OpExp,YearCapex,Year2Capex,Year3Capex,YearDiv,Year2Div,Year3Div,YearROE,Year2ROE,Year3ROE,YearDebt_EBITDA,Year2Debt_EBITDA,Year3Debt_EBITDA,YearFFO_Debt,Year2FFO_Debt,Year3FFO_Debt
NY,"J. Crew Group, Inc.",IQ30345,2010,391.9525,1578.042,1427.97,1334.723,1309.712,1284.49,1128.104,44.705,77.526,80.618,0,125,200,41.0634,29.63115,133.0323,0.67896,1.90727,1.31743,97.51027,39.46401,51.59756
UT,Vista Outdoor Inc.,IQ262788142,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,Party City Holdings Inc.,IQ24064917,2010,321.6195,1486.818,1559.661,1247.404,1291.96,1374.739,1103.554,26.195,53.001,27.445,0,0,0,13.51168,9.67095,4.94791,3.22291,3.66019,4.71194,21.31801,17.35628,12.79477
NY,"G-III Apparel Group, Ltd.",IQ274166,2010,0,0,0,0,0,0,0,0,0,0,0,0,13.143,0,0,0,0,0,0,0,0,0
NV,"Pinnacle Entertainment, Inc.",IQ278271,2010,224.28,987.739,1044.684,921.814,835.758,894.28,759.517,212.745,280.9,502.744,0,943.243,841.214,-13.01458,-41.32332,0.00504,6.63279,6.09818,4.98379,6.53842,8.70385,12.61877
FL,Tupperware Brands Corporation,IQ347586,2010,443.95,2127.5,2161.8,1981.4,1785.9,1864.5,1715.3,46.4,54.4,50.3,55,580.2,599,31.5013,32.38688,25.32496,1.32204,1.88447,2.19479,46.73434,33.64103,20.75681
CA,"Guitar Center Holdings, Inc.",IQ137473586,2010,236.5795,2000.769,2225.642,0,1839.071,2047.666,0,45.217,39.389,0,0,0,0,-62.20814,-43.16534,0,7.83297,7.18133,0,3.81964,4.76187,0
NV,Boyd Gaming Corporation,IQ327880,2010,287.439,1640.986,1780.967,1997.119,1332.914,1415.969,1525.144,157.179,629.733,278.834,0,2647.058,2265.929,0.3688,-17.63633,9.69063,8.13724,7.04993,4.77697,7.05103,8.01194,11.7793
CO,"M.D.C. Holdings, Inc.",IQ181003,2010,46.724,910.644,1475.578,2922.979,943.009,1550.388,2893.866,-11.856,-39.338,-30.767,46.925,997.527,997.091,2.29139,-29.76574,-35.01695,0,0,1.05207,NM,NM,98.94522
MI,"Tower International, Inc.",IQ35650,2010,211.0505,0,0,0,0,0,0,0,0,0,0,506.248,0,0,0,0,0,0,0,0,0,0
MI,Visteon Corporation,IQ245507,2010,0,0,0,0,0,0,0,0,0,0,0,65,2745,0,0,0,0,0,0,0,0,0
GA,"Beazer Homes USA, Inc.",IQ332730,2010,24.022,1005.212,2074.298,3490.819,1115.486,2231.434,3398.507,7.034,10.566,29.474,0,1747.377,1857.249,-62.30771,-112.00555,-26.91864,-49.481,-108.44579,7.09302,-10.00356,0.84287,8.965
OH,American Greetings Corp.,IQ250037,2010,248.46,1635.858,1690.738,1776.451,1405.101,1584.003,1594.148,26.55,55.733,56.623,19.049,220.618,223.915,14.00108,-30.93291,8.51949,1.75423,4.00728,1.75282,47.10173,23.20824,39.29651
VA,TEGNA Inc.,IQ20571,2010,1395.503,5612.993,6767.65,7439.46,4552.097,5290.689,5434.173,67.521,164.542,171.362,119.328,3816.942,4098.338,24.65731,-131.98725,11.2139,3.38367,3.26721,2.24126,19.61443,22.9038,28.78557
IL,"tronc, Inc.",IQ171136214,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,"M/I Homes, Inc.",IQ328190,2010,30.0695,569.949,607.659,1016.46,645.659,809.387,1144,4.008,3.947,4.461,0,215.468,320.615,-26.58924,-69.35585,-18.11007,-133.0656,-9.66779,7.59775,4.32757,-4.349,12.32018
OH,The Wendy's Company,IQ23557,2010,467.323,3580.835,1822.761,1263.717,3155.652,1664.905,1125.271,101.914,106.989,0,28.132,1081.151,711.531,0.149,-20.22237,NM,4.47265,6.91526,0,15.30167,8.45249,NM
LA,Lamar Media Corp.,IQ3097546,2010,624.4275,1056.065,1198.419,1209.555,627.148,695.281,678.787,38.815,198.07,220.534,0.365,2783.819,2694.028,-6.90323,0.20064,3.7134,5.86747,5.68323,5.05729,10.01243,11.75573,12.7555
VA,"Media General, Inc.",IQ336277,2010,140.195,657.612,800.034,898.776,549.255,687.497,737.794,18.253,31.317,76.742,0,0,824.25828,-25.78178,-116.67013,1.00748,6.87875,6.86383,5.48823,11.47747,10.14206,12.57707
MN,"Life Time Fitness, Inc.",IQ136442,2010,306.328,837.001,769.621,0,596.141,548.335,0,146.632,454.237,0,0,702.569,555.037,NM,NM,0,0,0,0,NM,NM,0
MA,Houghton Mifflin Harcourt Company,IQ214727961,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,Station Casinos LLC,IQ326838,2010,0,0,0,0,0,0,0,0,0,0,0,2898.1,5268.539,0,0,0,0,0,0,0,0,0
NY,MDC Partners Inc.,IQ379819,2010,96.1865,545.141,583.271,533.883,489.633,528.433,481.531,6.209,14.384,19.453,7.784,179.952,162.958,-15.12615,8.07704,-14.41032,3.98637,4.3378,6.26885,16.28866,16.39358,11.04988
TX,"Conn's, Inc.",IQ7620997,2010,42.3795,0,0,0,0,0,0,0,0,0,0,0.017,0.088,0,0,0,0,0,0,0,0,0
CT,Mohegan Tribal Gaming Authority,IQ3073720,2010,223.55905,1455.117,0,0,1154.488,0,0,176.134,0,0,71.5,1522.314,1276.109,78.55041,0,0,7.3312,0,0,10.99165,0,0
FL,Claire's Stores Inc.,IQ261596,2010,444.7205,1342.389,1412.96,1510.831,1128.975,1238.584,1240.657,24.952,59.405,86.472,0,2363.25,0,22.99166,-234.30738,-5.93738,8.14579,9.20603,7.01585,5.01048,3.18533,7.39885
KY,Churchill Downs Incorporated,IQ260619,2010,88.431,470.503,0,0,405.514,0,0,85.19,0,0,6.767,57.374,81.803,4.41521,0,0,1.5407,0,0,48.54114,0,0
TX,Six Flags Entertainment Corporation,IQ435998,2010,287.1885,912.861,1021.298,972.78,699.148,720.047,757.617,100.94,99.213,115.642,-16.342,2355.682,2524.696,53.57411,40.08653,-430.78692,5.52564,9.67863,13.25713,7.58178,3.12549,-0.57735
NC,"Extended Stay America, Inc.",IQ347306,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Marriott Vacations Worldwide Corporation,IQ127149531,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,"Cedar Fair, L.P.",IQ96760,2010,365.8615,916.075,996.232,986.973,616.141,641.058,650.681,67.519,81.858,77.055,67.864,1834.839,1735.461,30.19757,2.91213,-1.29106,5.40508,4.83764,5.20054,9.89817,12.61367,11.6958
NY,New Media Investment Group Inc.,IQ30795,2010,99.9165,584.793,683.099,579.46,500.542,572.375,467.557,2.476,9.704,8.602,0,1229.957,1250.101,107.23184,-588.57321,-50.4923,13.20753,10.36142,10.23553,2.17947,2.23078,3.29137
CA,The Gymboree Corporation,IQ29232,2010,313.2125,1014.911,1000.678,920.814,813.971,811.416,759.418,39.579,56.184,68.794,0,0,0,26.36877,34.45823,33.19312,1.371,1.30052,1.73816,51.3676,53.64596,37.95256
NY,"Weight Watchers International, Inc.",IQ754046,2010,452.526,1398.913,1535.812,1467.167,1008.888,1086.246,1012.527,23.439,31.603,31.848,54.078,1485,1602.5,-21.89082,-22.53669,-40.45051,3.5615,3.57626,3.57328,18.26613,15.42284,15.2694
GA,Cumulus Media Inc.,IQ27244,2010,94.1345,256.048,311.538,328.327,188.707,223.178,237.452,3.11,6.069,4.789,0,688.6,722.81,40.82822,561.29713,-98.09834,8.50822,7.22596,7.11459,6.22798,7.00615,6.40855
TN,"Ruby Tuesday, Inc.",IQ346489,2010,193.168,1194.796,1248.556,1360.304,1055.936,1162.84,1207.157,17.672,17.086,116.118,0,588.142,512.559,9.50144,-4.22652,6.0578,3.1338,5.83255,4.48907,27.08083,11.3358,16.33584
TX,"Nexstar Media Group, Inc.",IQ518638,2010,120.1275,251.979,284.919,266.801,192.691,189.178,182.358,19.028,30.793,18.541,0,658.632,630.785,7.38916,61.33194,24.30907,11.10794,6.87982,7.91679,3.16793,7.24417,4.62459
CT,"Affinion Group Holdings, Inc.",IQ31275536,2010,286.9,1376.9,1409.9,0,1080,1105.7,0,39.9,36.7,0,0.7,1739.3,0,6.87015,NM,0,5.91767,0.00233,0,7.22064,16027.97203,0
CA,The McClatchy Company,IQ287993,2010,414.114,1471.584,1900.456,2260.363,1130.183,1536.343,1685.71,13.374,21.226,60.325,14.905,2037.776,2471.827,54.14118,1.17455,-154.51869,6.79061,7.11544,4.53843,6.91352,4.32153,10.18508
MO,"Isle of Capri Casinos, Inc.",IQ323175,2010,209.661,999.836,1045.103,1107.69,833.038,842.433,906,27.615,57.561,187.124,0,1497.591,1410.385,-0.65764,29.40798,-16.20445,7.39757,6.61815,7.46979,7.39496,7.99378,7.17561
NY,"Carrols Restaurant Group, Inc.",IQ59151858,2010,126.0265,816.14,816.327,789.409,727.486,734.981,701.168,36.944,62.408,58.279,0,289.202,298.154,109.32252,1495.66237,-92.45179,4.73034,5.29479,5.16826,13.12875,10.66384,10.30811
FL,"ILG, Inc.",IQ30205,2010,162.553,404.986,415.798,0,267.957,270.012,0,15.162,13.637,0,0,412.242,0,24.68967,14.06929,0,2.53727,2.49007,0,28.47939,38.46574,0
NV,"Eldorado Resorts, Inc.",IQ3133890,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,"Perry Ellis International, Inc.",IQ327353,2010,84.23,754.202,851.297,863.866,705.46,802.835,788.105,2.734,10.189,18.955,0,175.31,237.03,5.07487,-4.93566,10.83242,3.46602,4.91452,2.66552,19.28619,12.10113,23.28255
NV,Everi Payments Inc.,IQ21826788,2010,77.074,667.72,671.608,600.889,580.615,576.936,514.728,7.216,8.135,9.502,0,0,0,21.93629,18.38061,17.52911,2.60381,2.5569,2.43205,30.81048,28.46037,27.74226
NV,Tropicana Entertainment Inc.,IQ79282541,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,Sotheby's,IQ303923,2010,316.9515,484.958,691.559,917.722,410.264,597.492,608.912,100.879,74.192,17.396,20.434,294.473,99.888,-1.15474,4.922,47.53832,3.56053,3.17908,1.20056,15.10507,19.44247,56.16471
AZ,"Cable ONE, Inc.",IQ679139,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,Libbey Inc.,IQ329891,2010,147.9385,750.24,812.629,816.367,667.852,728.632,708.694,17.005,45.717,43.121,0,545.856,495.099,46.13609,-456.8387,-2.54966,6.4454,6.42804,5.01383,1.06482,3.49765,8.50434
OH,The E. W. Scripps Company,IQ20119,2010,110.321,802.36,1001.792,2517.14,745.018,906.757,1763.828,39.25,82.201,127.387,0,61.166,504.663,-37.59565,-41.57374,-0.22255,1.82783,1.53688,0.83695,94.14193,50.53303,106.2215
GA,"Gray Television, Inc.",IQ322777,2010,139.374,270.374,327.176,307.288,201.751,213.669,214.777,17.756,16.289,24.834,0,816.906,915.75,-38.12136,-91.70594,-6.90553,13.08875,7.87745,9.81823,-1.66175,6.64196,2.91278
AZ,"AV Homes, Inc.",IQ252551,2010,0,0,0,0,0,0,0,0,0,0,0,131.061,130.766,0,0,0,0,0,0,0,0,0
UT,"APX Group Holdings, Inc.",IQ28609655,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,"Stoneridge, Inc.",IQ228755,2010,51.734,475.152,752.698,727.12,468.822,695.458,663.19,11.998,24.573,18.141,0,183,200,-39.08644,-65.46601,8.66451,15.32667,3.04371,3.03887,-5.98312,21.80385,21.12342
FL,International Speedway Corporation,IQ354995,2010,213.342,693.163,0,816.563,455.693,0,481.505,111.029,0,90.96,6.822,422.045,375.009,0.61255,0,7.45751,0.88087,0,1.16471,96.84906,0,83.49854
FL,"WCI Communities, Inc.",IQ36492,2010,0,0,0,0,0,0,0,0,0,0,0,1617.609,1923.6,0,0,0,0,0,0,0,0,0
MI,Horizon Global Corporation,IQ279402278,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,"Townsquare Media, Inc.",IQ33718,2010,0,0,0,0,0,0,0,0,0,0,0,0,202.7,0,0,0,0,0,0,0,0,0
NC,"Speedway Motorsports, Inc.",IQ341530,2010,176.476,550.522,610.993,0,334.458,351.237,0,42.113,73.52,0,15.352,687.917,431.034,-0.71044,12.36439,0,2.70845,2.63608,0,26.48898,28.62103,0
CA,Global Eagle Entertainment Inc.,IQ36476295,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Entercom Communications Corp.,IQ395750,2010,128.2475,372.432,438.822,468.351,277.335,303.104,312.429,2.467,8.553,9.281,0,818.936,973.697,5.03994,-134.70587,-1.16757,6.92893,5.64122,5.82775,10.71623,12.23516,12.73007
MD,"Radio One, Inc.",IQ33574,2010,88.4665,272.092,316.416,319.552,195.712,227.512,205.415,4.528,12.597,10.203,0,634.536,789.5,-18.18975,-63.13526,-31.25542,8.00215,7.26732,6.92015,5.92834,4.57362,5.34736
CO,"National CineMedia, Inc.",IQ7958431,2010,224.3,380.7,369.5,331.9,196.9,183.4,166.9,8.4,16.6,14.3,106.6,886.7,798.4,-5.12066,-2.89433,-7.24205,3.92958,3.95317,4.51992,18.74974,14.73914,11.01382
NY,"Town Sports International Holdings, Inc.",IQ35652,2010,160.282,485.392,506.709,472.915,404.332,399.941,369.109,49.204,96.182,93.28,0,317.16,305.124,151.93674,489.42408,-154.66395,5.38239,5.08542,5.20835,11.29671,11.94686,9.90043
MD,"Choice Hotels International, Inc.",IQ370714,2010,188.42,258.799,0,0,95.074,0,0,11.135,0,0,44.274,284.4,272.378,-78.01272,0,0,1.68417,0,0,44.27198,0,0
NV,Affinity Gaming,IQ3153346,2010,0,0,0,0,0,0,0,0,0,0,0,0,1138.436,0,0,0,0,0,0,0,0,0
NY,"Iconix Brand Group, Inc.",IQ288255,2010,220.073,232.058,216.761,160.004,71.341,65.697,38.457,3.873,6.281,0.134,0,545.226,588.311,9.48792,11.02251,12.83601,4.20351,4.23385,5.7866,14.92263,14.92299,12.71467
CO,Jacobs Entertainment Inc.,IQ3097936,2010,54.398,313.466,0,0,264.777,0,0,16.094,0,0,3.238,290.02,298.045,6.73178,0,0,6.07471,0,0,7.94715,0,0
CA,"Salem Media Group, Inc.",IQ400224,2010,61.797,199.213,222.49,230.677,145.709,170.788,176.079,3.686,8.684,14.895,0,329.507,350.106,-4.12825,-15.97638,3.90152,5.64392,5.9241,6.11962,10.89096,8.62244,8.90155
CA,Entravision Communications Corporation,IQ527252,2010,70.332,189.231,232.335,250.046,137.098,161.627,161.228,6.856,16.873,16.162,0,405.521,483.002,-102.89225,-143.75206,5.68133,6.08408,4.94647,4.58929,8.38378,9.10492,11.11902
IN,Emmis Communications Corp.,IQ28028,2010,0,0,333.873,358.059,0,279.782,287.581,0,20.627,6.743,0,443.782,497.332,0,-264.10237,-11.18582,0,7.9146,7.09145,0,7.75922,8.06913
FL,"Spanish Broadcasting System, Inc.",IQ405465,2010,41.831,139.389,163.717,179.752,102.694,147.038,140.248,0.954,15.898,10.514,0,344.156,340.425,50.84891,-253.66126,-2.76834,11.12133,20.00803,9.71998,0.75568,-2.57708,3.56307
FL,"Hemisphere Media Group, Inc.",IQ226584812,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,"LBI Media, Inc.",IQ3632482,2010,36.1065,102.921,117.705,115.667,68.303,73.139,62.884,9.719,14.345,13.702,0.107,369.615,0,109.63047,684.21625,-202.8296,12.11335,9.43706,8.57668,1.03309,1.26579,3.11491
NY,"Nathan's Famous, Inc.",IQ61292,2010,10.969,49.96,48.124,0,41.493,40.95,0,2.184,0.513,0,0,0,0,12.92696,11.74089,0,1.09936,0.71617,0,66.90178,109.75195,0
MI,Metaldyne Performance Group Inc.,IQ1040657,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,General Motors Company,IQ61206100,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,Ford Motor Company,IQ106335,2009,3290,130328,156262,143249,128852,151500,151802,6567,5920,6790,0,22752,23357,251.32243,-255.57097,-253.16227,15.96821,4.75651,1.3641,-1.9737,8.8666,37.425
WA,"Amazon.com, Inc.",IQ18749,2009,2053,19166,14835,10711,18090,13934,10117,333,224,216,0,1282,1247,33.34195,58.47666,56.12999,0,0,0.37454,NM,NM,196.36245
GA,"The Home Depot, Inc.",IQ278679,2009,7660,71288,77349,79022,64193,68405,68582,1827,3512,3495,1521,11643,2672,13.02866,19.69867,20.27763,2.20366,1.95165,1.54641,30.9259,32.20609,41.4142
PA,Comcast Corporation,IQ173341,2009,14429,34256,30895,0,20998,19109,0,6277,6158,0,547,29828,27992,6.22815,6.27098,0,2.41297,2.66617,0,31.0113,26.02537,0
MN,Target Corporation,IQ174438,2009,6628.5,62884,61471,57878,58720,56436,52925,3499,4291,3879,465,8675,9119,15.25897,18.41629,18.68088,2.23809,1.67009,0.94914,30.6026,39.45519,67.65848
NC,"Lowe's Companies, Inc.",IQ180871,2009,5460,48230,48283,46927,42756,42086,40533,3230,3945,3884,491,4325,3499,12.85392,17.6539,20.65593,1.62522,1.53654,1.09523,42.8981,43.58609,60.32074
CA,The Walt Disney Company,IQ191564,2009,8142.5,37843,35510,33747,28644,26995,26681,1516,1529,1211,664,11892,10843,14.03704,14.93935,11.38721,1.525,1.50715,1.68963,41.66628,59.2106,51.83599
MN,"Best Buy Co., Inc.",IQ255397,2009,4460.5,45015,40023,35934,42208,37281,33426,1303,797,733,223,590,178,20.80913,26.33599,24.03561,2.05779,1.79238,1.66444,33.92061,40.02907,44.25117
OR,"NIKE, Inc.",IQ291981,2009,3289,19176.1,18627,16325.9,16386.3,15889.7,13924.4,455.7,449.2,313.5,466.7,409.9,410.7,18.00053,25.36446,22.41071,0,0.05991,0,NM,1176.57082,NM
MA,"The TJX Companies, Inc.",IQ306688,2009,3464.149,18999.505,18647.126,0,17163.067,16839.617,0,581.332,526.188,0,176.749,785.645,782.914,42.89397,34.91003,0,1.62923,1.71922,0,46.38267,40.24477,0
NY,Time Warner Inc.,IQ24689,2009,6362.3,26434,26211,43690,21248,21084,32710,684,4430,4076,901,37304,34933,-7.61525,2.76981,8.08485,4.17262,6.83497,3.27681,16.54227,11.3522,25.06127
NY,"Twenty-First Century Fox, Inc.",IQ91031,2009,5676,32996,28655,25327,26104,22992,20518,2198,1405,1037,369,12147,11385,17.50589,10.91152,9.49182,1.86618,1.66231,1.91454,36.38856,45.64167,38.87198
OH,"Macy's, Inc.",IQ318091,2009,3008.5,24892,26313,0,22212,23146,0,750,983,0,221,7847,8860,-66.00701,8.2036,0,4.03968,3.43969,0,18.65725,19.70521,0
IL,McDonald's Corporation,IQ139488,2009,8969.45,23522.4,22786.6,20895.2,16030.9,16034.3,15009,2123.4,1939.7,1736.5,1823.4,7310,8389.9,30.09657,15.19287,18.72999,1.81691,1.89048,2.03242,37.46875,38.34193,34.06431
IL,Sears Holdings Corporation,IQ7675730,2009,2675.5,46770,50703,53012,45163,48125,49363,497,570,513,0,2843,3268,0.52876,7.06557,12.25077,3.54613,2.53752,2.07756,18.51132,29.80796,35.25761
WA,Starbucks Corporation,IQ34745,2009,2236.15,10496.6,9519.503,7880.879,9176.5,7998.398,6599.716,977.3,1076.448,768.53,0,550.1,1.958,13.21461,29.8114,26.92541,2.28523,2.18202,1.85407,28.24628,31.40533,36.69196
TN,Dollar General Corporation,IQ266974,2009,1697.719,10457.668,9495.246,9169.822,9600.083,8903.085,8655.823,205.546,139.794,258.615,0,261.958,269.962,3.90861,-0.57605,7.95854,4.35978,5.7324,1.56048,13.61949,11.03649,46.076
FL,"AutoNation, Inc.",IQ112302,2009,495.5,14131.9,17691.5,18988.6,13653.6,17026.4,18251.2,97,157.9,170.2,0,1751.9,1557.9,-43.21179,8.01536,7.90723,2.92281,2.9625,2.35265,19.34362,20.03596,25.16819
CT,"Charter Communications, Inc.",IQ19609,2009,2516.5,6479,6002,5504,4193,3909,3603,1202,1244,1103,0,19968,19119,26.6442,22.90412,28.47652,9.08313,9.36953,9.8922,2.05591,1.43543,0.25558
MI,Whirlpool Corporation,IQ314515,2009,1351.6,18907,19408,18080,17672,17756,16652,547,536,576,128,1668,1798,12.08617,17.98721,19.33174,3.15151,2.27527,2.83942,19.77008,31.97408,22.54655
MA,"Staples, Inc.",IQ34740,2009,3100.063,23083.775,19372.682,0,20989.412,17419.874,0,378.329,470.377,0,231.465,316.465,527.606,14.20164,18.54191,0,2.43359,1.50782,0,29.74393,45.95967,0
VA,"Dollar Tree, Inc.",IQ27685,2009,1052.75,4644.9,0,0,4117.4,0,0,131.3,0,0,0,250,250,20.47645,0,0,1.38673,0,0,55.55785,0,0
MI,"Penske Automotive Group, Inc.",IQ365436,2009,400.661,11646.345,12957.739,11242.313,11394.819,12638.907,10955.861,210.974,194.954,225.058,33.902,830.106,1168.666,-36.60691,9.4069,10.69885,7.54767,5.86559,6.97017,7.02647,9.09014,8.10332
WI,Kohl's Corporation,IQ61243,2009,2946.005,16389,16473.734,15544.2,14312,14217.112,13341.7,1006,1525.383,1142.247,0,1040.057,1046.104,13.7844,18.51946,19.18045,2.67046,2.26527,1.83346,24.042,26.90935,34.07813
MI,Lear Corporation,IQ30727,2009,437.45,13570.5,15995,17838.9,13040.4,14907.4,17165.7,167.7,202.2,347.6,0,2344.6,2434.5,-106.99442,28.53429,-82.94221,4.98897,2.59805,4.22222,12.73618,25.68696,12.49448
FL,Carnival Corporation,IQ258823,2009,3702.5,14646,0,0,10668,0,0,3301,0,0,1261,6313,6355,11.93006,0,0,2.43829,0,0,35.80309,0,0
OH,The Goodyear Tire & Rubber Company,IQ275789,2009,1502,19488,19644,20258,18079,18068,19002,1026,729,664,55,4329,6562,-3.97727,13.28872,96.35037,4.43535,3.16258,5.05735,14.50608,18.92687,11.44538
CA,"The Gap, Inc.",IQ274265,2009,3493.5,14526,15763,15943,12405,13867,14207,423,672,564,243,188,513,22.32999,18.35309,14.68063,0.92757,1.15303,1.31894,79.35624,63.39858,54.58561
NY,Omnicom Group Inc.,IQ96161,2009,2142.95,13359.9,12694,11376.9,11434.6,10826.3,9703.4,212.2,223,177.6,192,3054.7,3054.7,26.27356,24.50584,22.09917,1.87875,1.81863,1.88031,41.24237,41.40581,38.57198
CO,DISH Network Corporation,IQ110001,2009,2748.61,11617.187,11090.375,9818.486,8560.777,8153.654,7392.852,1113.01,1426.434,1376.227,0,4025,5525,-137.94749,359.507,-112.0199,1.67079,1.37037,1.60162,48.01186,63.56201,52.02901
WA,"Nordstrom, Inc.",IQ32215,2009,1314.5,8271,8846,0,7501,7617,0,552,489,0,138,624,627.776,34.49462,43.55081,0,1.20264,0.78475,0,54.2845,80.03385,0
NY,CBS Corporation,IQ27763231,2009,2848.95,13950.4,14072.9,14320.2,11396.1,10995.4,11209.1,514.3,511.4,504.1,705.4,7068.6,7027.3,-77.64228,5.47084,6.11098,3.40584,2.85781,2.57189,19.5967,22.44093,27.33721
PA,Aramark,IQ1004106,2009,1210.2185,13470.152,12384.316,11621.173,12394.879,11392.353,10709.405,368.988,343.613,323.972,0,5839.123,1763.088,2.49135,1.97818,18.35974,5.26554,5.20145,2.23888,10.10136,10.50138,30.12211
KY,"Yum! Brands, Inc.",IQ365997,2009,2731,11279,10416,9561,9325,8564,7836,935,742,614,322,2924,2045,184.49761,70.16596,56.808,2.86311,2.43262,2.2682,24.35249,29.58922,31.45988
TX,"J. C. Penney Company, Inc.",IQ295624,2009,1690.5,18486,19860,19903,16907,17592,17626,959,1231,767,178,3010,3444,11.97845,23.02083,27.34177,3.43038,2.2128,1.89941,21.40924,27.75825,30.31671
CA,"Ross Stores, Inc.",IQ33926,2009,1253.1725,6486.139,5975.212,0,5849.131,5433.422,0,221.218,236.121,0,49.838,150,0,31.05625,27.76431,0,1.57133,1.61373,0,45.93134,42.89292,0
NY,"Viacom, Inc.",IQ25403751,2009,3728.5,14625,13423.1,11361.1,11697,10094.8,8229.3,359,292.2,217,0,8059,7584,17.43471,22.83609,20.95479,3.26654,2.8939,2.77482,19.71155,29.55339,30.6743
OH,"L Brands, Inc.",IQ285544,2009,1779,9043,10134,0,7982,8922,0,479,749,0,201,1665,1669,10.75006,27.75416,0,2.99481,2.70216,0,22.11154,21.65182,0
NC,V.F. Corporation,IQ191328,2009,1306.59,7642.6,7219.359,6215.794,6518.119,6137.972,5281.273,124.207,113.863,127.195,255.235,1144.81,635.359,16.89772,17.92593,17.59826,1.45543,1.31154,0.99226,50.0895,52.44737,66.9866
TX,"D.R. Horton, Inc.",IQ107405,2009,131.55,6646.1,11088.8,14760.5,9120.5,11716,12512.6,6.6,39.8,83.3,142,3774,4671.9,-62.54691,-11.83575,20.87986,9.98531,3.49604,1.57325,25.01625,20.64535,38.12645
NJ,Bed Bath & Beyond Inc.,IQ321778,2009,1641.812,7208.34,7048.942,6617.429,6358.843,6053.15,5595.073,215.859,358.21,317.501,0,0,0,15.28592,21.60086,24.19757,1.35055,1.55586,1.12323,49.46116,44.52197,55.30381
NJ,"Toys ""R"" Us Inc.",IQ190358,2009,1608.5,13724,13794,13050,12763,12735,12088,393.949,326,285,0,5722,5540,-65.76169,-28.7594,-15.58256,5.92172,5.84575,6.50599,10.45369,7.53272,7.18193
AR,Murphy USA Inc.,IQ240460878,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,Las Vegas Sands Corp.,IQ3632895,2009,947.4915,4389.946,2950.567,2236.859,3499.041,2217.87,1485.582,3657.793,3570.503,1830.697,0,7517.997,4136.152,-5.27308,5.383,23.99131,10.90643,9.53058,5.22213,4.23022,4.61183,13.56571
FL,Lennar Corporation,IQ30763,2009,87.6745,4575.417,10186.781,16266.662,5187.389,10135.375,14621.791,-1.39,0,26.783,83.487,2295.436,2613.503,-34.41624,-40.76406,10.84417,5.89297,0.69954,1.0228,20.83962,167.93174,62.87133
TX,"Group 1 Automotive, Inc.",IQ368787,2009,184.8635,5654.087,6392.997,6083.484,5524.233,6222.796,5905.131,141.834,144.697,70.85,10.955,647.925,428.639,-4.51665,9.86727,13.39615,5.24893,4.5182,3.10647,12.58053,15.18784,22.15839
CO,Liberty Interactive Corporation,IQ30796,2009,1883.5,9817,9423,8613,8318,7787,6897,202,316,278,0,11524,8909,-11.90671,9.53444,3.4795,6.74727,6.25958,5.17885,12.45965,14.79376,21.91643
TN,"AutoZone, Inc.",IQ25307,2009,1543.3,6522.706,0,0,5229.063,0,0,242.281,0,0,0,1935.618,1857.157,202.75531,0,0,2.13797,0,0,31.19544,0,0
GA,Newell Brands Inc.,IQ291703,2009,979.45,6470.6,6407.3,6201,5666.8,5404,5284.7,157.1,157.3,138.3,245.95,760.7,1972.3,-2.59652,23.16375,26.64289,3.31741,1.98922,2.27884,22.85528,36.64405,33.96781
CT,The Priceline Group Inc.,IQ33254,2009,573.317,1884.806,1390.817,1123.103,1552.536,1179.052,1027.533,18.322,15.949,12.851,0,0,568.865,26.93938,33.53093,20.21635,0.25597,0.74691,2.15051,292.21332,121.32577,41.48224
