State,Company,CIQID,Year,EBITDA,YearRev,Year2Rev,Year3Rev,YearOpExp,Year2OpExp,Year3OpExp,YearCapex,Year2Capex,Year3Capex,YearDiv,Year2Div,Year3Div,YearROE,Year2ROE,Year3ROE,YearDebt_EBITDA,Year2Debt_EBITDA,Year3Debt_EBITDA,YearFFO_Debt,Year2FFO_Debt,Year3FFO_Debt
FL,Royal Caribbean Cruises Ltd.,IQ325643,2015,2340.22,8073.855,7959.894,7688.024,6359.551,6407.035,6168.977,1782.571,745.877,1278.199,198.952,6578.346,7025.935,8.94124,5.53475,0.21879,4.6136,4.7511,5.23864,17.98843,16.49887,14.65269
IL,Tenneco Inc.,IQ35259,2015,813,8420,7964,7363,7713,7331,6723,336,265,265,30,1019,1067,48.60215,53.9028,190.31142,1.78383,2.19157,2.32451,37.38601,30.19811,28.06183
NV,Caesars Entertainment Corporation,IQ298176,2015,1303,8264,8291.6,8586.7,7086,6777.6,6942.3,953,688.5,469.5,0,20918,20838.6,63.82559,165.16399,-466.55462,18.14936,13.45359,13.19021,-4.46727,-1.7097,-0.81447
MO,"O'Reilly Automotive, Inc.",IQ324289,2015,2021.1325,7216.081,6649.237,6182.184,5751.502,5362.572,5027.685,418.487,385.281,294.619,0,1396.141,1095.734,39.05812,32.90077,23.65142,1.88792,2.0061,1.6085,34.63491,32.60969,41.11895
CA,"Live Nation Entertainment, Inc.",IQ384687,2015,715.9385,6866.964,6478.547,5819.047,6356.696,5969.964,5407.759,142.937,135.39,138.373,0,1530.484,1677.955,-6.71108,-3.13805,-10.98317,4.82756,4.72736,4.68507,14.30477,13.14241,12.95999
NY,PVH Corp.,IQ296568,2015,1428.95,8241.2,8186.351,6042.999,7353.7,7306.728,5247.728,255.8,237.142,210.554,12.5,2211.642,1832.925,10.09256,3.78339,15.01326,3.3886,4.31322,2.70005,24.76257,12.74321,27.23015
CA,"Netflix, Inc.",IQ32012,2015,531.857,5504.656,4374.562,3609.282,5047.98,4097.841,3513.821,69.726,54.143,41.457,0,500,400,16.72056,10.81717,2.47239,1.80524,0,0,39.90109,NM,NM
NY,"The Interpublic Group of Companies, Inc.",IQ108616,2015,1423.2,7537.1,7122.3,6956.2,6585.7,6366.6,6130.2,148.7,173,169.2,176,1129.8,2060.8,21.85324,11.74365,20.48314,1.87353,2.04988,2.11445,41.01922,34.95628,34.32192
NY,"Foot Locker, Inc.",IQ315394,2015,1681.5,7151,6505,6182,6207,5706,5442,190,206,163,127,133,135,20.83333,17.60722,17.69557,1.31916,1.59258,1.39991,53.35999,44.03468,50.33393
MI,Federal-Mogul Holdings Corporation,IQ271077,2015,535.5,7317,6786,6664,6837,6276,6251,418,380,387,0,905,2733,-14.63415,8.39729,-13.16086,7.00801,6.10835,8.50682,8.16433,9.88687,5.20482
AZ,"PetSmart, Inc.",IQ32919,2015,1359.957,7111.973,6916.627,6758.237,6166.985,5987.878,5868.614,141.43,146.822,138.467,77.723,0,0,34.5922,37.83935,34.2079,1.51362,1.56995,1.56831,45.94691,43.60625,43.1162
GA,"PulteGroup, Inc.",IQ294550,2015,1020.4205,5822.363,5679.595,4819.998,5066.187,5044.246,4548.272,48.79,28.899,13.942,75.646,2065.689,2509.613,10.03475,76.62762,9.98709,1.54733,1.6845,3.62423,56.63419,49.28575,19.48204
NY,Ralph Lauren Corporation,IQ362220,2015,1372,7620,7450,6944.8,6284,6061,5566.8,391,390,276.5,158,0,274.4,17.71609,19.8501,20.16915,0.83171,0.60183,0.50406,92.45345,123.87873,147.37791
FL,"Darden Restaurants, Inc.",IQ336160,2015,1180.8,6764,6285.6,8551.9,6027.9,5654,7512.5,295.2,412.2,682.6,278.9,2496.2,1453.7,8.74755,8.68988,21.15084,2.21604,4.18597,2.86697,33.93113,17.00374,26.63748
CT,"Harman International Industries, Incorporated",IQ29279,2015,720.175,5348.483,4297.842,4364.078,4891.835,3968.423,3941.607,157.141,101.682,112.536,83.053,255.043,0.337,13.65501,8.97198,22.31703,0.58067,0.4981,0.06588,150.76796,172.99161,1299.861
WA,"Expedia, Inc.",IQ25915843,2015,1355.495,5763.485,4771.259,4030.347,5043.75,4121.724,3402.671,328.387,308.581,235.697,84.697,1249.412,1249.345,20.26078,10.26935,12.89622,0.03393,0.48745,0,2062.55905,169.20212,NM
NY,Cablevision Systems Corporation,IQ25933,2015,1870.219,6460.946,6232.152,6705.461,4673.186,4623.781,4866.994,891.678,951.679,1075.255,160.545,9400.518,9546.187,-5.98892,-2.33655,-0.59489,4.38534,5.01561,5.33982,15.31808,12.9553,11.71738
